Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease§, Neuroinvasive Current week","West Nile virus disease§, Neuroinvasive Current week, flag ","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med","West Nile virus disease§, Neuroinvasive Previous 52 weeks Med, flag","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max","West Nile virus disease§, Neuroinvasive Previous 52 weeks Max, flag","West Nile virus disease§, Neuroinvasive Cum 2017","West Nile virus disease§, Neuroinvasive Cum 2017, flag","West Nile virus disease§, Neuroinvasive Cum 2016","West Nile virus disease§, Neuroinvasive Cum 2016, flag","West Nile virus disease§, Nonneuroinvasive Current week","West Nile virus disease§, Nonneuroinvasiveś Current week, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Med, flag","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max","West Nile virus disease§, Nonneuroinvasiveś Previous 52 weeks Max, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2017","West Nile virus disease§, Nonneuroinvasiveś Cum 2017, flag","West Nile virus disease§, Nonneuroinvasiveś Cum 2016","West Nile virus disease§, Nonneuroinvasiveś Cum 2016, flag",Location 1,Location 2
LOUISIANA,2017,1,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-92.463284', 'needs_recoding': False, 'latitude': '31.2931', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2017,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-97.521264', 'needs_recoding': False, 'latitude': '35.468494', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2017,1,,-,1,,18,,,-,,-,,-,0,,10,,,-,,-,"{'longitude': '-99.423022', 'needs_recoding': False, 'latitude': '31.827233', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2017,1,,-,0,,17,,,-,,-,,-,0,,23,,,-,,-,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ARIZONA,2017,1,,-,0,,6,,,-,,-,,-,0,,3,,,-,,-,"{'longitude': '-111.760902', 'needs_recoding': False, 'latitude': '34.869712', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2017,1,,-,0,,9,,,-,,-,,-,0,,16,,,-,,-,"{'longitude': '-106.132562', 'needs_recoding': False, 'latitude': '38.841772', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2017,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,"{'longitude': '-114.364237', 'needs_recoding': False, 'latitude': '43.680635', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
MONTANA,2017,1,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-109.430168', 'needs_recoding': False, 'latitude': '47.062617', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
NEVADA,2017,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-117.070159', 'needs_recoding': False, 'latitude': '39.491833', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}'}",
NEW MEXICO,2017,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-106.244402', 'needs_recoding': False, 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
