Reporting Area,MMWR Year,MMWR Week,"West Nile virus disease†, Neuroinvasive Current week","West Nile virus disease†, Neuroinvasive Current week, flag ","West Nile virus disease†, Neuroinvasive Previous 52 weeks Med","West Nile virus disease†, Neuroinvasive Previous 52 weeks Med, flag","West Nile virus disease†, Neuroinvasive Previous 52 weeks Max","West Nile virus disease†, Neuroinvasive Previous 52 weeks Max, flag","West Nile virus disease†, Neuroinvasive Cum 2018","West Nile virus disease†, Neuroinvasive Cum 2018, flag","West Nile virus disease†, Neuroinvasive Cum 2017","West Nile virus disease†, Neuroinvasive Cum 2017, flag","West Nile virus disease†, Nonneuroinvasive Current week","West Nile virus disease†, Nonneuroinvasive Current week, flag","West Nile virus disease†, Nonneuroinvasive Previous 52 weeks Med","West Nile virus disease†, Nonneuroinvasive Previous 52 weeks Med, flag","West Nile virus disease†, Nonneuroinvasive Previous 52 weeks Max","West Nile virus disease†, Nonneuroinvasive Previous 52 weeks Max, flag","West Nile virus disease†, Nonneuroinvasive Cum 2018","West Nile virus disease†, Nonneuroinvasive Cum 2018, flag","West Nile virus disease†, Nonneuroinvasive Cum 2017","West Nile virus disease†, Nonneuroinvasive Cum 2017, flag","Zika virus disease, non-congenital Current week","Zika virus disease, non-congenital Current week, flag ","Zika virus disease, non-congenital Previous 52 weeks Med","Zika virus disease, non-congenital 52 weeks Med, flag","Zika virus disease, non-congenital Previous 52 weeks Max","Zika virus disease, non-congenital Previous 52 weeks Max, flag","Zika virus disease, non-congenital Cum 2018","Zika virus disease, non-congenital Cum 2018, flag","Zika virus disease, non-congenital Cum 2017","Zika virus disease, non-congenital Cum 2017, flag",Location 1,Location 2
ARKANSAS,2018,1,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-92.275105', 'needs_recoding': False, 'latitude': '34.748745', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARKANSAS"",""zip"":""""}'}",
LOUISIANA,2018,1,,-,0,,7,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"{'longitude': '-92.463284', 'needs_recoding': False, 'latitude': '31.2931', 'human_address': '{""address"":"""",""city"":"""",""state"":""LOUISIANA"",""zip"":""""}'}",
OKLAHOMA,2018,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-97.521264', 'needs_recoding': False, 'latitude': '35.468494', 'human_address': '{""address"":"""",""city"":"""",""state"":""OKLAHOMA"",""zip"":""""}'}",
TEXAS,2018,1,,-,0,,10,,,-,,-,,-,0,,7,,,-,,-,,-,1,,5,,,-,2,,"{'longitude': '-99.423022', 'needs_recoding': False, 'latitude': '31.827233', 'human_address': '{""address"":"""",""city"":"""",""state"":""TEXAS"",""zip"":""""}'}",
MOUNTAIN,2018,1,,-,1,,29,,,-,,-,,-,0,,20,,,-,,-,,-,0,,2,,,-,2,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ARIZONA,2018,1,,-,0,,12,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-111.760902', 'needs_recoding': False, 'latitude': '34.869712', 'human_address': '{""address"":"""",""city"":"""",""state"":""ARIZONA"",""zip"":""""}'}",
COLORADO,2018,1,,-,0,,6,,,-,,-,,-,0,,7,,,-,,-,,-,0,,2,,,-,1,,"{'longitude': '-106.132562', 'needs_recoding': False, 'latitude': '38.841772', 'human_address': '{""address"":"""",""city"":"""",""state"":""COLORADO"",""zip"":""""}'}",
IDAHO,2018,1,,-,0,,5,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-114.364237', 'needs_recoding': False, 'latitude': '43.680635', 'human_address': '{""address"":"""",""city"":"""",""state"":""IDAHO"",""zip"":""""}'}",
MONTANA,2018,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-109.430168', 'needs_recoding': False, 'latitude': '47.062617', 'human_address': '{""address"":"""",""city"":"""",""state"":""MONTANA"",""zip"":""""}'}",
NEVADA,2018,1,,-,0,,5,,,-,,-,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-117.070159', 'needs_recoding': False, 'latitude': '39.491833', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEVADA"",""zip"":""""}'}",
NEW MEXICO,2018,1,,-,0,,4,,,-,,-,,-,0,,4,,,-,,-,,-,0,,0,,,-,,-,"{'longitude': '-106.244402', 'needs_recoding': False, 'latitude': '34.520396', 'human_address': '{""address"":"""",""city"":"""",""state"":""NEW MEXICO"",""zip"":""""}'}",
UTAH,2018,1,,-,0,,8,,,-,,-,,-,0,,6,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-111.584173', 'needs_recoding': False, 'latitude': '39.359772', 'human_address': '{""address"":"""",""city"":"""",""state"":""UTAH"",""zip"":""""}'}",
WYOMING,2018,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,"{'longitude': '-108.110518', 'needs_recoding': False, 'latitude': '43.23558', 'human_address': '{""address"":"""",""city"":"""",""state"":""WYOMING"",""zip"":""""}'}",
PACIFIC,2018,1,,-,0,,49,,,-,,-,,-,0,,16,,,-,,-,,-,1,,6,,,-,3,,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",
ALASKA,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-147.738891', 'needs_recoding': False, 'latitude': '64.836661', 'human_address': '{""address"":"""",""city"":"""",""state"":""ALASKA"",""zip"":""""}'}",
CALIFORNIA,2018,1,,-,0,,47,,,-,,-,,-,0,,16,,,-,,-,,-,1,,5,,,-,2,,"{'longitude': '-121.002435', 'needs_recoding': False, 'latitude': '37.640735', 'human_address': '{""address"":"""",""city"":"""",""state"":""CALIFORNIA"",""zip"":""""}'}",
HAWAII,2018,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,"{'longitude': '-157.858158', 'needs_recoding': False, 'latitude': '21.30992', 'human_address': '{""address"":"""",""city"":"""",""state"":""HAWAII"",""zip"":""""}'}",
OREGON,2018,1,,-,0,,1,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,"{'longitude': '-120.156945', 'needs_recoding': False, 'latitude': '44.567912', 'human_address': '{""address"":"""",""city"":"""",""state"":""OREGON"",""zip"":""""}'}",
